data,ano,mes,trimestre,semestre,uf,regiao,governo,preco_medio_imovel,variacao_preco_anual,tx_ocupacao_%,inadimplencia_aluguel_%,vendas_totais_10k_hab,rotacao_imoveis,perc_vista_%,perc_financiamento_%,perc_mcmv_%,perc_imovel_usado_%,perc_terreno_zero_%,indice_aluguel_yoy_%,qualidade_vida_score,indice_crise,saude_mercado,abandono_violencia_por_10k,abandono_desastre_por_10k,abandono_vontade_por_10k,abandono_total_por_10k,aumento_moradores_por_10k,invasao_terrenos_por_10k,pessoas_alugam_proprio_10k,pessoas_vendem_proprio_10k
2018-10-01,2018,10,4,2,AM,Norte,Temer,357000.0,0.11217049915872579,90.5,6.7,21.7,22.9,22.3,39.7,9.4,76.5,8.7,4.9,6.08,0.1815,0.0,79.3,0.0,31.1,110.4,0.0,19.9,1.2,1.0
2018-11-01,2018,11,4,2,AM,Norte,Temer,344800.0,-1.8502704241389112,90.4,6.9,19.5,20.8,19.5,42.5,8.9,76.1,7.8,5.8,6.14,0.186,0.0,67.6,0.0,31.2,98.8,0.0,18.9,1.3,0.9
2018-12-01,2018,12,4,2,AM,Norte,Temer,343500.0,-3.8353863381858866,90.0,7.1,23.0,24.1,24.4,37.6,9.0,76.0,8.1,4.5,5.97,0.19199999999999998,0.0,76.5,0.0,31.2,107.7,0.0,18.9,1.1,1.0
2019-01-01,2019,1,1,1,AM,Norte,Bolsonaro,338700.0,-1.5406976744186007,88.4,5.3,21.2,21.9,30.3,29.7,8.4,70.7,7.7,4.5,6.19,0.16399999999999998,0.0,55.6,0.0,31.2,86.8,0.0,15.0,0.7,0.6
2019-02-01,2019,2,1,1,AM,Norte,Bolsonaro,361600.0,5.3613053613053685,87.8,5.5,19.4,20.2,33.0,27.0,7.6,70.2,8.3,5.0,6.2,0.17099999999999999,0.0,63.0,0.0,31.2,94.2,0.0,14.9,0.8,0.5
2019-03-01,2019,3,1,1,AM,Norte,Bolsonaro,331900.0,-3.769208466222096,86.9,4.9,19.0,19.7,32.2,27.8,7.7,70.6,7.8,5.1,6.02,0.16349999999999995,0.0,52.1,0.0,31.3,83.4,0.0,14.9,0.7,0.5
2019-04-01,2019,4,2,1,AM,Norte,Bolsonaro,331700.0,-5.092989985693852,87.6,5.1,18.6,19.200000000000003,30.3,29.7,7.4,70.7,7.7,4.5,6.06,0.16400000000000003,0.0,66.7,0.0,31.3,98.0,0.0,15.0,0.6,0.6
2019-05-01,2019,5,2,1,AM,Norte,Bolsonaro,344800.0,-1.1467889908256867,87.8,5.6,19.7,20.5,31.4,28.6,7.3,69.8,8.2,5.1,6.25,0.173,0.0,65.1,0.0,31.3,96.39999999999999,0.0,15.3,0.8,0.7
2019-06-01,2019,6,2,1,AM,Norte,Bolsonaro,320000.0,-5.576866332251407,87.8,5.7,17.3,17.8,32.4,27.6,8.3,69.9,7.6,5.4,6.1,0.175,0.0,75.7,0.0,31.3,107.0,0.0,14.6,0.5,0.7
2019-07-01,2019,7,3,2,AM,Norte,Bolsonaro,347000.0,-1.3363662212112604,88.1,5.1,19.5,20.2,30.7,29.3,8.5,70.9,8.3,3.6,6.22,0.16150000000000003,0.0,59.4,0.0,31.4,90.8,0.0,14.5,0.7,0.6
2019-08-01,2019,8,3,2,AM,Norte,Bolsonaro,342000.0,-3.471634208298058,86.6,4.7,18.5,19.0,30.4,29.6,8.1,69.8,7.7,4.9,6.36,0.161,0.0,71.0,0.0,31.4,102.4,0.0,16.7,0.5,0.6
2019-09-01,2019,9,3,2,AM,Norte,Bolsonaro,353900.0,3.8743762841209284,85.8,5.3,19.7,20.4,29.1,30.9,8.3,70.4,7.5,5.7,6.31,0.177,0.0,76.6,0.0,31.4,108.0,0.0,15.8,0.7,0.4
2019-10-01,2019,10,4,2,AM,Norte,Bolsonaro,344500.0,-3.5014005602240883,86.8,5.9,20.8,21.400000000000002,30.9,29.1,8.5,68.5,8.1,5.6,6.27,0.184,0.0,51.7,0.0,31.4,83.1,0.0,14.7,0.6,0.5
2019-11-01,2019,11,4,2,AM,Norte,Bolsonaro,339800.0,-1.4501160092807441,86.1,4.8,20.6,21.400000000000002,33.1,26.9,8.3,70.9,7.8,3.7,6.22,0.1655,0.0,64.1,0.0,31.5,95.6,0.0,17.2,0.8,0.6
2019-12-01,2019,12,4,2,AM,Norte,Bolsonaro,337200.0,-1.8340611353711789,87.8,5.1,19.8,20.5,29.4,30.6,7.6,70.9,8.2,4.4,6.37,0.16299999999999998,0.0,72.1,0.0,31.5,103.6,0.0,15.4,0.7,0.5
2020-01-01,2020,1,1,1,AM,Norte,Bolsonaro,327100.0,-3.424859757897847,89.1,5.8,19.0,19.8,35.8,24.2,7.7,68.6,7.8,5.4,6.2,0.17050000000000004,0.0,76.0,0.0,31.5,107.5,0.0,14.2,0.8,0.6
2020-02-01,2020,2,1,1,AM,Norte,Bolsonaro,347000.0,-4.037610619469023,88.5,5.1,18.7,19.3,34.3,25.7,8.1,70.3,7.0,5.4,6.27,0.15949999999999998,0.0,50.0,0.0,31.6,81.6,0.0,14.8,0.6,0.5
2020-03-01,2020,3,1,1,AM,Norte,Bolsonaro,352800.0,6.2970774329617285,86.9,5.2,20.8,21.400000000000002,34.4,25.6,7.0,68.8,8.1,4.7,6.3,0.16949999999999996,0.0,72.6,0.0,31.6,104.19999999999999,0.0,14.7,0.6,0.4
2020-04-01,2020,4,2,1,AM,Norte,Bolsonaro,328500.0,-0.9647271630991883,88.6,5.6,20.1,20.8,29.8,30.2,7.8,68.9,8.3,5.1,6.17,0.16900000000000004,0.0,56.8,0.0,31.6,88.4,0.0,14.7,0.7,0.5
2020-05-01,2020,5,2,1,AM,Norte,Bolsonaro,330800.0,-4.060324825986084,87.4,5.7,19.8,20.6,32.8,27.2,7.3,70.5,7.8,4.6,6.38,0.17699999999999994,0.0,60.4,0.0,31.6,92.0,0.0,15.6,0.8,0.6
2020-06-01,2020,6,2,1,AM,Norte,Bolsonaro,322400.0,0.7500000000000062,88.6,5.1,19.2,20.0,31.0,29.0,7.7,68.9,7.1,4.4,6.28,0.15900000000000003,0.0,76.0,0.0,31.6,107.6,0.0,13.2,0.8,0.4
2020-07-01,2020,7,3,2,AM,Norte,Bolsonaro,344400.0,-0.7492795389049012,86.8,5.3,19.9,20.599999999999998,34.8,25.2,8.3,70.0,7.9,5.3,6.31,0.172,0.0,70.2,0.0,31.7,101.9,0.0,15.7,0.7,0.6
2020-08-01,2020,8,3,2,AM,Norte,Bolsonaro,345400.0,0.9941520467836362,87.9,5.7,19.3,20.0,29.2,30.8,8.1,68.5,8.6,5.0,6.23,0.1745,0.0,66.3,0.0,31.7,98.0,0.0,16.2,0.7,0.6
2020-09-01,2020,9,3,2,AM,Norte,Bolsonaro,353600.0,-0.08476970895733293,87.8,5.0,19.3,20.2,32.4,27.6,8.6,68.8,7.7,4.9,6.2,0.161,0.0,69.1,0.0,31.7,100.8,0.0,17.4,0.9,0.7
2020-10-01,2020,10,4,2,AM,Norte,Bolsonaro,343900.0,-0.17416545718432763,86.6,5.0,18.9,19.4,32.4,27.6,8.2,70.1,7.8,5.2,6.33,0.167,0.0,75.1,0.0,31.8,106.89999999999999,0.0,15.1,0.5,0.2
2020-11-01,2020,11,4,2,AM,Norte,Bolsonaro,359200.0,5.709240729841092,88.2,5.6,20.4,21.2,29.8,30.2,7.9,71.0,7.4,5.7,6.36,0.17099999999999999,0.0,72.7,0.0,31.8,104.5,0.0,17.3,0.8,0.6
2020-12-01,2020,12,4,2,AM,Norte,Bolsonaro,350900.0,4.062870699881382,87.7,6.0,19.7,20.4,31.5,28.5,8.0,69.2,8.1,5.4,6.32,0.1815,0.0,71.2,0.0,31.8,103.0,0.0,15.2,0.7,0.4
2021-01-01,2021,1,1,1,AM,Norte,Bolsonaro,381500.0,16.630999694283098,86.6,5.6,20.3,21.2,33.5,26.5,8.4,69.4,9.5,8.3,6.3,0.179,0.0,49.6,0.0,31.8,81.4,0.0,13.9,0.9,0.5
2021-02-01,2021,2,1,1,AM,Norte,Bolsonaro,378500.0,9.077809798270886,87.8,6.0,20.8,21.6,34.1,25.9,7.7,70.2,7.3,8.1,6.33,0.181,0.0,60.9,0.0,31.9,92.8,0.0,15.5,0.8,0.5
2021-03-01,2021,3,1,1,AM,Norte,Bolsonaro,364600.0,3.3446712018140534,86.8,5.8,18.9,19.7,30.6,29.4,7.2,69.7,7.6,8.6,6.39,0.182,0.0,53.2,0.0,31.9,85.1,0.0,16.2,0.8,0.6
2021-04-01,2021,4,2,1,AM,Norte,Bolsonaro,371700.0,13.15068493150684,88.5,5.3,19.4,20.0,30.3,29.7,7.0,70.2,7.1,9.4,6.38,0.16349999999999998,0.0,63.5,0.0,31.9,95.4,0.0,14.9,0.6,0.5
2021-05-01,2021,5,2,1,AM,Norte,Bolsonaro,365600.0,10.519951632406288,88.4,4.6,20.4,21.099999999999998,30.3,29.7,7.6,71.7,8.0,9.4,6.15,0.15,0.0,58.3,0.0,31.9,90.19999999999999,0.0,14.1,0.7,0.6
2021-06-01,2021,6,2,1,AM,Norte,Bolsonaro,357500.0,10.88709677419355,87.2,4.8,19.4,20.2,31.0,29.0,8.1,70.9,8.5,8.9,6.41,0.16,0.0,53.1,0.0,31.9,85.0,0.0,14.2,0.8,0.6
2021-07-01,2021,7,3,2,AM,Norte,Bolsonaro,358000.0,3.948896631823451,88.2,5.6,18.3,19.0,33.5,26.5,8.7,70.1,8.8,9.0,6.33,0.17099999999999999,0.0,61.5,0.0,32.0,93.5,0.0,13.6,0.7,0.5
2021-08-01,2021,8,3,2,AM,Norte,Bolsonaro,376900.0,9.119861030689048,88.7,5.8,19.2,19.9,28.1,31.9,9.8,72.3,8.1,8.8,6.3,0.1725,0.0,49.6,0.0,32.0,81.6,0.0,16.0,0.7,0.6
2021-09-01,2021,9,3,2,AM,Norte,Bolsonaro,368500.0,4.213800904977383,88.0,4.9,20.4,21.0,30.6,29.4,6.2,69.0,7.7,7.6,6.27,0.158,0.0,57.8,0.0,32.0,89.8,0.0,13.9,0.6,0.5
2021-10-01,2021,10,4,2,AM,Norte,Bolsonaro,375100.0,9.072404768828157,87.8,5.1,19.6,20.1,30.9,29.1,8.3,68.6,8.3,7.8,6.39,0.16299999999999998,0.0,56.7,0.0,32.1,88.80000000000001,0.0,15.8,0.5,0.5
2021-11-01,2021,11,4,2,AM,Norte,Bolsonaro,383500.0,6.765033407572374,87.8,4.8,21.0,21.6,31.1,28.9,8.3,70.6,8.5,7.6,6.29,0.157,0.0,55.0,0.0,32.1,87.1,0.0,14.1,0.6,0.6
2021-12-01,2021,12,4,2,AM,Norte,Bolsonaro,364700.0,3.9327443716158372,87.8,5.7,19.3,20.1,31.3,28.7,6.9,71.4,7.7,10.5,6.28,0.175,0.0,64.0,0.0,32.1,96.1,0.0,16.4,0.8,0.5
2022-01-01,2022,1,1,1,AM,Norte,Bolsonaro,374300.0,-1.887287024901707,88.2,5.0,23.8,24.5,33.2,26.8,9.2,69.8,7.4,4.9,6.35,0.159,0.0,59.3,0.0,32.1,91.4,0.0,12.8,0.7,0.7
2022-02-01,2022,2,1,1,AM,Norte,Bolsonaro,377000.0,-0.39630118890356947,88.8,4.6,22.7,23.4,31.3,28.7,7.9,70.0,8.1,5.6,6.3,0.148,0.0,64.7,0.0,32.2,96.9,0.0,15.0,0.7,0.5
2022-03-01,2022,3,1,1,AM,Norte,Bolsonaro,369400.0,1.3165112452002248,87.2,5.4,23.7,24.3,32.7,27.3,9.2,69.6,8.4,4.8,6.31,0.17200000000000001,0.0,68.4,0.0,32.2,100.60000000000001,0.0,15.8,0.6,0.4
2022-04-01,2022,4,2,1,AM,Norte,Bolsonaro,380600.0,2.3944040893193463,89.4,4.5,24.4,25.0,33.3,26.7,8.5,69.9,8.3,4.1,6.31,0.143,0.0,61.8,0.0,32.2,94.0,0.0,13.6,0.6,0.5
2022-05-01,2022,5,2,1,AM,Norte,Bolsonaro,390100.0,6.701312910284463,87.4,4.9,23.2,23.9,29.6,30.4,8.6,69.7,7.7,6.1,6.32,0.16099999999999995,0.0,54.1,0.0,32.2,86.30000000000001,0.0,15.1,0.7,0.7
2022-06-01,2022,6,2,1,AM,Norte,Bolsonaro,367400.0,2.7692307692307683,88.0,4.4,24.7,25.4,31.2,28.8,7.9,68.9,7.8,5.2,6.21,0.14800000000000002,0.0,64.1,0.0,32.2,96.3,0.0,14.7,0.7,0.5
2022-07-01,2022,7,3,2,AM,Norte,Bolsonaro,364900.0,1.927374301675977,87.9,4.8,25.6,26.400000000000002,30.0,30.0,7.3,70.5,8.5,5.6,6.61,0.1565,0.0,54.8,0.0,32.3,87.1,0.0,13.7,0.8,0.5
2022-08-01,2022,8,3,2,AM,Norte,Bolsonaro,381700.0,1.2735473600424596,87.5,5.1,23.6,24.200000000000003,32.6,27.4,7.8,72.2,8.0,6.2,6.22,0.16449999999999998,0.0,74.3,0.0,32.3,106.6,0.0,13.8,0.6,0.6
2022-09-01,2022,9,3,2,AM,Norte,Bolsonaro,383000.0,3.9348710990501967,87.2,4.6,24.9,25.599999999999998,30.2,29.8,8.6,70.8,7.0,4.6,6.31,0.156,0.0,53.2,0.0,32.3,85.5,0.0,13.5,0.7,0.5
2022-10-01,2022,10,4,2,AM,Norte,Bolsonaro,362400.0,-3.385763796320984,88.4,5.1,23.7,24.5,30.2,29.8,7.9,70.3,6.8,5.9,6.25,0.15999999999999998,0.0,68.2,0.0,32.3,100.5,0.0,14.5,0.8,0.5
2022-11-01,2022,11,4,2,AM,Norte,Bolsonaro,382500.0,-0.2607561929595881,88.6,5.1,24.9,25.599999999999998,31.4,28.6,8.1,71.2,8.6,4.9,6.34,0.15900000000000003,0.0,57.9,0.0,32.4,90.3,0.0,15.8,0.7,0.5
2022-12-01,2022,12,4,2,AM,Norte,Bolsonaro,372500.0,2.1387441732931167,87.5,5.4,23.8,24.5,31.9,28.1,7.3,69.1,8.1,5.3,6.52,0.1705,0.0,47.8,0.0,32.4,80.19999999999999,0.0,14.0,0.7,0.5
2023-01-01,2023,1,1,1,AM,Norte,Lula,368500.0,-1.5495591771306438,90.3,3.6,27.5,28.3,30.7,29.3,13.0,70.4,9.4,5.1,6.38,0.1205,0.0,47.9,0.0,32.4,80.3,0.0,16.0,0.8,0.6
2023-02-01,2023,2,1,1,AM,Norte,Lula,391300.0,3.7931034482758585,91.3,3.7,27.4,28.2,30.6,29.4,12.8,70.7,9.5,4.5,6.16,0.11750000000000005,0.0,63.8,0.0,32.4,96.19999999999999,0.0,16.1,0.8,0.7
2023-03-01,2023,3,1,1,AM,Norte,Lula,382200.0,3.465078505684893,92.7,3.8,29.0,29.6,31.9,28.1,12.8,72.1,9.5,5.2,6.24,0.11249999999999998,0.0,65.8,0.0,32.5,98.3,0.0,14.7,0.6,0.6
2023-04-01,2023,4,2,1,AM,Norte,Lula,392700.0,3.1791907514450823,92.0,3.7,27.4,28.0,32.8,27.2,12.2,70.2,8.7,5.5,6.15,0.11399999999999999,0.0,64.5,0.0,32.5,97.0,0.0,15.7,0.6,0.5
2023-05-01,2023,5,2,1,AM,Norte,Lula,377300.0,-3.2812099461676514,91.0,3.8,26.5,27.0,34.0,26.0,11.8,69.3,9.9,4.7,6.33,0.12099999999999998,0.0,71.1,0.0,32.5,103.6,0.0,15.5,0.5,0.5
2023-06-01,2023,6,2,1,AM,Norte,Lula,387400.0,5.443658138268925,92.2,3.7,26.8,27.6,28.5,31.5,12.0,70.7,9.0,5.1,6.28,0.11299999999999999,0.0,68.7,0.0,32.5,101.2,0.0,14.7,0.8,0.7
