data,uf,regiao,governo,preco_medio_imovel,tx_ocupacao_%,inadimplencia_aluguel_%,vendas_totais_10k_hab,perc_vista_%,perc_financiamento_%,perc_mcmv_%,perc_imovel_usado_%,perc_terreno_zero_%,qualidade_vida_score,abandono_violencia_por_10k,abandono_desastre_por_10k,abandono_vontade_por_10k,aumento_moradores_por_10k,invasao_terrenos_por_10k,pessoas_alugam_proprio_10k,pessoas_vendem_proprio_10k,indice_aluguel_yoy_%
2015-02,SC,Sul,Dilma,416300.0,91.0,7.0,21.7,21.6,40.4,7.5,75.3,11.1,7.37,40.8,0.0,30.1,0.0,2.4,1.3,0.8,5.1
2015-02,AM,Norte,Dilma,346800.0,90.4,6.9,22.8,24.0,38.0,9.7,74.8,7.8,6.34,61.9,0.0,30.1,0.0,14.5,1.2,0.8,5.6
2015-02,DF,Centro-Oeste,Dilma,495100.0,89.9,6.9,22.4,25.5,36.5,7.4,76.4,8.4,6.84,43.1,0.0,30.1,0.0,9.1,1.1,0.9,4.1
2015-02,GO,Centro-Oeste,Dilma,336500.0,90.7,6.0,23.1,25.9,36.1,7.9,77.2,11.0,6.51,37.6,0.0,30.1,0.0,7.6,1.1,1.0,4.7
2015-03,CE,Nordeste,Dilma,333900.0,92.1,6.0,21.5,27.3,34.7,12.4,75.8,11.3,6.38,37.8,0.0,30.1,0.0,7.5,1.2,0.9,5.6
2015-03,RJ,Sudeste,Dilma,464400.0,91.6,8.8,23.3,24.6,37.4,7.5,75.2,7.7,5.89,148.1,0.0,30.1,0.0,33.8,1.2,1.1,4.6
2015-03,SP,Sudeste,Dilma,516200.0,90.8,6.5,24.3,24.7,37.3,6.7,77.3,8.0,7.02,76.5,0.0,30.1,0.0,11.9,1.2,1.0,5.4
2015-03,BA,Nordeste,Dilma,278200.0,90.2,7.4,21.5,25.3,36.7,10.6,76.6,8.3,6.0,55.7,0.0,30.1,0.0,17.5,1.1,1.0,4.9
2015-03,MG,Sudeste,Dilma,364500.0,91.2,6.4,22.3,21.4,40.6,8.2,76.2,7.7,6.58,41.9,0.0,30.1,0.0,7.4,1.1,0.9,4.9
2015-03,RS,Sul,Dilma,404700.0,91.6,7.1,22.8,23.0,39.0,6.2,76.0,7.9,6.94,53.3,0.0,30.1,0.0,5.3,1.4,0.9,5.3
2015-03,SC,Sul,Dilma,428400.0,91.1,6.4,23.0,23.2,38.8,6.4,76.0,11.2,7.37,52.2,0.0,30.1,0.0,4.0,1.1,1.0,5.1
2015-03,AM,Norte,Dilma,371900.0,90.4,6.2,22.3,18.8,43.2,8.6,75.2,8.1,6.27,68.7,0.0,30.1,0.0,17.2,1.1,0.9,5.3
2015-03,DF,Centro-Oeste,Dilma,454600.0,91.8,7.3,22.4,19.6,42.4,9.1,75.9,8.6,7.1,38.0,0.0,30.1,0.0,8.6,1.2,0.9,5.4
2015-03,GO,Centro-Oeste,Dilma,314600.0,91.0,6.5,23.6,24.4,37.6,8.1,74.5,11.6,6.62,48.3,0.0,30.1,0.0,6.4,1.2,1.0,5.0
2015-04,CE,Nordeste,Dilma,350100.0,90.8,6.5,24.1,24.3,37.7,15.1,75.0,11.3,6.3,44.2,0.0,30.1,0.0,6.5,1.0,0.9,5.5
2015-04,RJ,Sudeste,Dilma,477500.0,92.1,9.1,21.3,19.6,42.4,7.0,76.4,8.0,5.79,126.3,0.0,30.1,0.0,33.3,1.3,1.0,4.3
2015-04,SP,Sudeste,Dilma,502600.0,90.9,6.1,24.1,21.0,41.0,6.4,75.5,7.6,6.95,70.5,0.0,30.1,0.0,11.3,1.1,1.1,5.0
2015-04,BA,Nordeste,Dilma,279000.0,90.9,6.7,22.7,24.2,37.8,10.6,75.5,7.7,5.87,53.9,0.0,30.1,0.0,16.2,1.3,1.1,4.8
2015-04,MG,Sudeste,Dilma,377400.0,93.1,6.7,24.3,22.7,39.3,7.2,74.4,8.1,6.64,39.8,0.0,30.1,0.0,5.8,1.1,1.1,5.6
2015-04,RS,Sul,Dilma,401400.0,91.0,7.2,21.9,26.0,36.0,7.4,75.0,7.9,6.97,44.0,0.0,30.1,0.0,4.8,1.4,0.8,5.4
2015-04,SC,Sul,Dilma,414200.0,90.5,6.4,21.9,23.1,38.9,6.3,76.3,11.0,7.15,38.9,0.0,30.1,0.0,2.2,1.3,1.0,4.3
2015-04,AM,Norte,Dilma,353400.0,89.8,6.9,23.6,21.7,40.3,9.5,75.2,7.1,6.21,53.3,0.0,30.1,0.0,15.4,1.1,1.0,3.8
2015-04,DF,Centro-Oeste,Dilma,469200.0,90.5,6.1,23.0,21.3,40.7,7.7,77.0,7.7,7.14,57.7,0.0,30.1,0.0,8.1,1.3,0.8,4.4
2015-04,GO,Centro-Oeste,Dilma,327800.0,91.2,6.5,22.2,23.2,38.8,8.9,77.2,11.1,6.45,48.6,0.0,30.1,0.0,6.8,1.2,1.0,4.7
2015-05,CE,Nordeste,Dilma,335300.0,91.5,6.6,22.6,25.4,36.6,13.7,74.0,10.5,6.39,20.9,0.0,30.1,0.0,7.9,1.4,1.0,4.8
2015-05,RJ,Sudeste,Dilma,469700.0,91.1,8.2,23.9,20.0,42.0,7.9,76.3,7.8,5.91,148.6,0.0,30.1,0.0,35.9,1.2,0.9,4.4
2015-05,SP,Sudeste,Dilma,519600.0,91.0,6.2,22.4,24.0,38.0,6.3,77.0,7.7,6.96,69.6,0.0,30.1,0.0,11.4,1.2,1.0,4.4
2015-05,BA,Nordeste,Dilma,290100.0,91.2,7.1,25.2,21.5,40.5,9.0,74.2,8.7,6.01,61.6,0.0,30.1,0.0,18.5,1.1,1.1,5.1
2015-05,MG,Sudeste,Dilma,373000.0,91.3,6.9,23.2,21.4,40.6,8.4,77.9,8.7,6.61,58.9,0.0,30.1,0.0,6.7,1.2,1.0,5.8
2015-05,RS,Sul,Dilma,384400.0,90.8,7.2,22.5,21.0,41.0,5.7,76.8,8.0,6.86,40.9,0.0,30.1,0.0,4.9,1.4,0.9,3.9
2015-05,SC,Sul,Dilma,418400.0,89.0,6.5,22.9,22.5,39.5,7.6,77.8,11.6,7.4,38.8,0.0,30.1,0.0,2.0,1.2,1.0,5.0
2015-05,AM,Norte,Dilma,354200.0,90.5,6.5,22.3,22.9,39.1,8.6,75.3,8.1,5.98,64.6,0.0,30.1,0.0,17.0,1.3,1.0,3.5
2015-05,DF,Centro-Oeste,Dilma,465900.0,89.9,6.4,22.0,20.8,41.2,9.4,76.9,8.6,7.05,57.0,0.0,30.1,0.0,8.2,1.2,0.9,5.5
2015-05,GO,Centro-Oeste,Dilma,321100.0,91.4,6.4,23.5,22.3,39.7,9.9,74.9,11.3,6.52,50.9,0.0,30.1,0.0,6.9,1.1,1.0,4.9
2015-06,CE,Nordeste,Dilma,328400.0,90.4,6.2,21.3,19.9,42.1,14.5,74.7,11.9,6.41,19.4,0.0,30.1,0.0,10.0,1.2,0.9,5.3
2015-06,RJ,Sudeste,Dilma,459600.0,91.0,9.5,23.1,22.3,39.7,7.0,76.3,7.1,5.9,133.4,0.0,30.1,0.0,34.5,1.2,1.0,5.2
2015-06,SP,Sudeste,Dilma,502100.0,91.0,6.3,21.8,23.8,38.2,4.6,77.0,8.2,7.12,74.1,0.0,30.1,0.0,13.5,1.3,0.8,4.1
2015-06,BA,Nordeste,Dilma,279400.0,91.3,6.6,22.1,23.4,38.6,9.4,75.4,7.3,5.91,49.3,0.0,30.1,0.0,17.4,1.3,0.9,6.8
2015-06,MG,Sudeste,Dilma,376500.0,90.3,6.7,23.8,21.8,40.2,8.1,78.6,8.0,6.69,55.5,0.0,30.1,0.0,6.6,1.4,0.9,6.3
2015-06,RS,Sul,Dilma,408400.0,91.3,6.4,24.1,24.2,37.8,5.7,75.3,7.9,6.9,50.9,0.0,30.1,0.0,6.9,1.1,1.0,5.4
2015-06,SC,Sul,Dilma,426800.0,91.5,7.0,23.5,22.9,39.1,5.7,76.4,11.1,7.1,43.4,0.0,30.1,0.0,1.8,1.3,0.9,5.5
2015-06,AM,Norte,Dilma,352600.0,91.6,6.6,22.3,23.2,38.8,8.6,75.6,7.8,6.29,68.7,0.0,30.1,0.0,15.1,1.1,0.9,4.7
2015-06,DF,Centro-Oeste,Dilma,486800.0,91.6,6.7,21.2,23.5,38.5,8.7,76.1,8.5,7.27,47.4,0.0,30.1,0.0,10.8,1.2,0.9,6.0
2015-06,GO,Centro-Oeste,Dilma,335700.0,90.6,6.4,22.6,20.3,41.7,8.3,75.0,10.6,6.61,46.1,0.0,30.1,0.0,7.5,1.1,1.0,4.9
2015-07,CE,Nordeste,Dilma,332300.0,90.1,6.1,23.4,23.3,38.7,14.4,76.3,12.2,6.34,31.1,0.0,30.2,0.0,7.8,1.5,0.9,5.8
2015-07,RJ,Sudeste,Dilma,476200.0,90.3,8.9,23.5,21.9,40.1,7.5,76.2,7.2,5.84,157.3,0.0,30.2,0.0,35.8,1.2,1.0,5.2
2015-07,SP,Sudeste,Dilma,517200.0,90.8,7.4,22.0,20.2,41.8,5.4,76.0,8.9,6.99,68.3,0.0,30.2,0.0,12.8,1.3,1.2,4.6
2015-07,BA,Nordeste,Dilma,280300.0,91.4,7.0,25.2,24.2,37.8,9.7,76.6,8.6,6.07,63.5,0.0,30.2,0.0,19.3,1.3,1.1,5.5
2015-07,MG,Sudeste,Dilma,370300.0,91.7,6.7,22.0,23.7,38.3,7.7,76.0,8.6,6.58,48.1,0.0,30.2,0.0,7.4,1.3,1.0,6.5
2015-07,RS,Sul,Dilma,398100.0,91.1,6.7,24.8,22.8,39.2,7.2,76.6,8.1,6.97,48.2,0.0,30.2,0.0,6.5,1.1,1.0,4.5
2015-07,SC,Sul,Dilma,433300.0,90.5,6.0,23.4,26.1,35.9,6.9,75.4,11.9,7.22,29.8,0.0,30.2,0.0,1.0,1.1,0.9,5.5
2015-07,AM,Norte,Dilma,354400.0,90.0,6.4,24.0,24.3,37.7,8.9,77.8,7.5,6.18,55.1,0.0,30.2,0.0,15.0,1.2,0.9,5.2
2015-07,DF,Centro-Oeste,Dilma,455000.0,90.8,7.2,24.3,23.7,38.3,8.4,76.6,8.2,7.1,56.9,0.0,30.2,0.0,10.7,1.3,0.9,6.0
2015-07,GO,Centro-Oeste,Dilma,317500.0,90.9,7.3,21.2,23.3,38.7,8.5,76.8,10.7,6.45,43.0,0.0,30.2,0.0,5.4,1.0,0.8,5.5
2015-08,CE,Nordeste,Dilma,339200.0,90.2,6.0,22.9,23.0,39.0,13.1,77.5,11.4,6.4,34.6,0.0,30.2,0.0,8.5,1.0,0.9,4.5
2015-08,RJ,Sudeste,Dilma,448300.0,92.1,9.0,23.7,21.9,40.1,7.5,77.4,8.5,5.94,146.1,0.0,30.2,0.0,33.6,1.2,1.0,5.4
2015-08,SP,Sudeste,Dilma,522100.0,91.8,6.4,23.2,27.2,34.8,5.4,77.7,8.1,6.96,67.6,0.0,30.2,0.0,12.2,1.2,1.0,4.6
2015-08,BA,Nordeste,Dilma,283500.0,92.1,7.5,23.5,23.1,38.9,10.1,76.6,7.5,6.02,55.1,0.0,30.2,0.0,17.3,1.3,0.9,6.1
2015-08,MG,Sudeste,Dilma,360400.0,91.0,6.0,24.2,26.4,35.6,7.6,77.1,8.0,6.74,45.4,0.0,30.2,0.0,8.3,1.0,1.1,6.0
2015-08,RS,Sul,Dilma,394800.0,91.2,6.8,23.3,21.9,40.1,6.5,76.0,8.6,6.95,56.3,0.0,30.2,0.0,5.9,0.9,1.0,3.8
2015-08,SC,Sul,Dilma,416900.0,90.0,6.2,24.3,22.1,39.9,7.3,76.0,11.2,7.27,42.2,0.0,30.2,0.0,1.9,1.2,0.8,4.7
2015-08,AM,Norte,Dilma,365400.0,90.6,7.0,22.5,22.4,39.6,10.7,76.4,8.2,6.17,75.8,0.0,30.2,0.0,16.0,1.2,0.9,5.0
2015-08,DF,Centro-Oeste,Dilma,478100.0,91.4,6.7,22.8,23.2,38.8,6.4,76.9,8.2,7.25,60.0,0.0,30.2,0.0,6.6,1.2,1.0,4.3
2015-08,GO,Centro-Oeste,Dilma,327800.0,90.4,6.2,25.2,22.6,39.4,9.2,76.9,11.2,6.68,48.0,0.0,30.2,0.0,7.7,1.2,1.0,5.7
2015-09,CE,Nordeste,Dilma,341800.0,91.3,6.3,21.6,26.3,35.7,13.1,76.3,10.6,6.41,36.1,0.0,30.2,0.0,8.8,1.2,1.1,5.3
2015-09,RJ,Sudeste,Dilma,456900.0,91.7,9.5,21.5,24.2,37.8,7.6,75.7,8.7,5.87,145.1,0.0,30.2,0.0,34.6,1.2,0.9,4.0
2015-09,SP,Sudeste,Dilma,528900.0,90.2,6.3,20.4,21.7,40.3,4.9,77.6,8.5,7.06,67.6,0.0,30.2,0.0,15.0,1.2,0.8,6.6
2015-09,BA,Nordeste,Dilma,273800.0,91.6,6.0,25.9,25.8,36.2,10.5,76.6,8.4,5.99,63.5,0.0,30.2,0.0,19.4,1.2,0.9,4.8
2015-09,MG,Sudeste,Dilma,356000.0,90.2,6.6,21.6,23.4,38.6,9.1,76.9,7.2,6.61,39.1,0.0,30.2,0.0,8.4,1.2,1.0,4.3
2015-09,RS,Sul,Dilma,402100.0,90.4,6.1,23.3,19.8,42.2,7.4,76.0,8.3,6.9,54.0,0.0,30.2,0.0,7.7,1.2,1.0,5.4
2015-09,SC,Sul,Dilma,421100.0,90.4,6.7,22.1,20.2,41.8,8.4,74.8,10.7,7.16,36.1,0.0,30.2,0.0,4.1,1.3,0.9,5.2
2015-09,AM,Norte,Dilma,344800.0,90.0,7.5,23.3,24.3,37.7,9.3,75.8,7.9,6.26,68.3,0.0,30.2,0.0,15.8,1.4,0.9,4.0
2015-09,DF,Centro-Oeste,Dilma,468500.0,90.3,7.7,24.9,26.4,35.6,7.6,76.6,8.8,7.04,49.2,0.0,30.2,0.0,9.3,1.1,0.9,4.1
2015-09,GO,Centro-Oeste,Dilma,323100.0,91.0,6.3,21.1,23.7,38.3,9.7,74.0,11.2,6.62,56.8,0.0,30.2,0.0,6.2,1.2,0.9,5.0
2015-10,CE,Nordeste,Dilma,337100.0,91.2,5.9,21.8,23.3,38.7,12.9,75.9,10.5,6.47,30.9,0.0,30.2,0.0,9.8,1.3,0.9,4.8
2015-10,RJ,Sudeste,Dilma,473600.0,92.5,9.2,23.4,23.4,38.6,6.8,76.1,7.9,5.82,152.7,0.0,30.2,0.0,35.6,1.1,0.8,5.4
2015-10,SP,Sudeste,Dilma,494500.0,91.1,5.8,25.9,23.0,39.0,6.7,76.1,8.0,7.0,80.9,0.0,30.2,0.0,12.5,1.2,0.9,5.7
2015-10,BA,Nordeste,Dilma,282400.0,91.2,6.4,21.9,23.1,38.9,10.0,77.1,8.2,6.09,57.5,0.0,30.2,0.0,20.0,1.3,1.0,4.1
2015-10,MG,Sudeste,Dilma,361700.0,90.4,6.5,22.7,23.1,38.9,8.4,75.9,8.2,6.61,47.8,0.0,30.2,0.0,5.5,1.2,0.9,5.4
2015-10,RS,Sul,Dilma,416300.0,90.7,7.2,24.7,23.3,38.7,6.7,75.4,7.8,6.9,49.4,0.0,30.2,0.0,6.6,1.2,1.0,5.8
2015-10,SC,Sul,Dilma,430500.0,89.0,6.1,24.1,20.3,41.7,6.8,74.8,10.1,7.14,46.3,0.0,30.2,0.0,4.0,0.9,0.9,5.3
2015-10,AM,Norte,Dilma,339000.0,90.8,6.7,23.6,23.2,38.8,8.2,77.2,7.9,6.15,68.0,0.0,30.2,0.0,15.1,1.1,0.9,6.2
2015-10,DF,Centro-Oeste,Dilma,453300.0,91.9,6.0,22.7,21.7,40.3,8.8,75.4,8.9,7.26,57.9,0.0,30.2,0.0,9.1,1.1,1.0,5.2
2015-10,GO,Centro-Oeste,Dilma,333200.0,90.9,7.3,22.0,23.9,38.1,8.5,78.0,11.1,6.38,44.3,0.0,30.2,0.0,7.7,1.1,1.0,4.5
2015-11,CE,Nordeste,Dilma,323700.0,91.6,6.1,23.8,25.0,37.0,13.4,74.6,11.8,6.49,34.3,0.0,30.3,0.0,8.3,1.3,1.0,6.5
2015-11,RJ,Sudeste,Dilma,452100.0,90.9,9.6,23.2,26.1,35.9,7.4,76.5,8.5,5.8,144.8,0.0,30.3,0.0,34.0,1.0,1.1,4.2
2015-11,SP,Sudeste,Dilma,505600.0,91.0,6.6,23.9,24.7,37.3,5.5,75.8,8.1,7.02,71.9,0.0,30.3,0.0,14.5,1.3,1.0,5.8
2015-11,BA,Nordeste,Dilma,284800.0,91.1,6.2,22.1,21.9,40.1,10.5,77.2,8.0,6.0,60.5,0.0,30.3,0.0,21.0,1.5,1.0,3.8
2015-11,MG,Sudeste,Dilma,378500.0,91.7,6.8,23.7,22.7,39.3,7.0,75.8,7.6,6.82,42.8,0.0,30.3,0.0,8.1,1.2,0.9,5.3
2015-11,RS,Sul,Dilma,412900.0,90.7,6.4,22.9,21.4,40.6,7.5,75.9,8.2,6.94,45.7,0.0,30.3,0.0,6.0,1.2,1.1,4.7
2015-11,SC,Sul,Dilma,422800.0,89.8,7.1,20.8,19.9,42.1,8.0,75.4,12.3,7.31,37.7,0.0,30.3,0.0,3.4,1.4,1.1,5.8
2015-11,AM,Norte,Dilma,361000.0,91.4,6.9,22.3,21.4,40.6,9.0,75.8,7.8,6.19,74.1,0.0,30.3,0.0,17.1,1.3,0.9,4.9
2015-11,DF,Centro-Oeste,Dilma,460900.0,90.8,5.9,22.8,26.0,36.0,8.5,75.0,8.9,7.06,62.5,0.0,30.3,0.0,10.2,1.1,0.9,5.8
2015-11,GO,Centro-Oeste,Dilma,337800.0,90.5,7.3,21.6,23.3,38.7,7.6,76.3,10.9,6.52,43.7,0.0,30.3,0.0,5.9,1.1,0.9,3.0
2015-12,CE,Nordeste,Dilma,332100.0,92.0,6.6,22.4,21.8,40.2,14.4,75.0,11.2,6.37,43.2,0.0,30.3,0.0,9.9,1.5,0.9,4.4
2015-12,RJ,Sudeste,Dilma,456800.0,91.4,9.3,22.0,26.0,36.0,6.8,76.0,7.6,5.94,129.0,0.0,30.3,0.0,36.0,1.2,1.0,5.4
2015-12,SP,Sudeste,Dilma,488400.0,91.4,6.5,21.4,23.6,38.4,4.9,76.5,8.0,6.92,61.3,0.0,30.3,0.0,14.1,1.1,1.0,5.8
2015-12,BA,Nordeste,Dilma,276300.0,91.1,6.7,23.8,23.4,38.6,9.7,75.2,8.0,6.01,49.7,0.0,30.3,0.0,16.5,1.3,0.8,4.3
2015-12,MG,Sudeste,Dilma,377200.0,90.8,7.5,22.0,22.6,39.4,9.1,75.4,7.6,6.69,43.8,0.0,30.3,0.0,6.6,1.4,1.0,4.8
2015-12,RS,Sul,Dilma,397900.0,91.4,6.1,22.8,22.6,39.4,9.6,76.3,7.6,6.89,49.6,0.0,30.3,0.0,7.6,1.1,1.0,4.5
2015-12,SC,Sul,Dilma,440000.0,90.5,7.1,24.5,23.1,38.9,7.7,76.5,10.6,7.15,37.3,0.0,30.3,0.0,4.3,1.2,0.9,5.3
2015-12,AM,Norte,Dilma,370000.0,90.8,6.3,24.6,22.8,39.2,9.4,74.9,8.2,6.27,67.4,0.0,30.3,0.0,17.2,1.5,1.0,5.2
2015-12,DF,Centro-Oeste,Dilma,471500.0,91.0,6.6,22.6,23.3,38.7,9.1,75.0,8.6,6.91,63.5,0.0,30.3,0.0,9.6,1.1,1.1,5.0
2015-12,GO,Centro-Oeste,Dilma,314500.0,91.4,6.5,23.6,22.5,39.5,8.7,75.6,10.5,6.58,60.6,0.0,30.3,0.0,7.2,1.4,1.0,4.7
2016-01,CE,Nordeste,Dilma,335600.0,90.2,5.9,23.3,20.6,41.4,15.0,75.5,11.1,6.43,39.5,0.0,30.3,0.0,8.4,1.5,1.0,4.1
2016-01,RJ,Sudeste,Dilma,460800.0,90.1,10.0,22.1,24.0,38.0,7.1,76.4,8.2,5.91,154.2,0.0,30.3,0.0,36.4,1.2,1.0,6.3
2016-01,SP,Sudeste,Dilma,506500.0,91.6,6.3,22.8,18.7,43.3,6.7,75.5,8.0,7.04,77.2,0.0,30.3,0.0,13.2,1.2,1.0,4.8
2016-01,BA,Nordeste,Dilma,288600.0,90.1,7.0,24.2,21.9,40.1,10.6,76.4,8.9,5.98,56.8,0.0,30.3,0.0,19.2,1.2,1.0,3.9
2016-01,MG,Sudeste,Dilma,361600.0,91.4,6.3,25.0,22.8,39.2,7.9,76.1,8.6,6.76,40.5,0.0,30.3,0.0,7.8,1.3,1.0,5.7
2016-01,RS,Sul,Dilma,373600.0,90.3,7.0,20.7,24.0,38.0,8.1,75.9,8.5,7.01,66.1,0.0,30.3,0.0,7.8,1.3,1.0,3.9
2016-01,SC,Sul,Dilma,417700.0,92.3,6.4,22.7,23.2,38.8,7.4,76.0,11.8,7.12,37.6,0.0,30.3,0.0,3.5,1.1,0.9,5.0
2016-01,AM,Norte,Dilma,348000.0,89.8,6.4,22.8,20.0,42.0,9.6,76.1,7.3,6.2,66.8,0.0,30.3,0.0,15.5,1.3,0.8,5.1
2016-01,DF,Centro-Oeste,Dilma,467200.0,90.9,7.0,22.0,22.4,39.6,7.4,77.1,8.0,7.02,68.5,0.0,30.3,0.0,9.7,1.0,0.8,3.9
2016-01,GO,Centro-Oeste,Dilma,324700.0,89.7,6.9,24.0,22.0,40.0,9.1,77.6,11.4,6.31,45.8,0.0,30.3,0.0,6.7,1.1,0.9,4.3
2016-02,CE,Nordeste,Dilma,331100.0,90.6,6.0,22.1,23.3,38.7,14.4,74.9,11.7,6.43,36.7,0.0,30.4,0.0,8.8,1.6,1.0,5.2
2016-02,RJ,Sudeste,Dilma,452200.0,90.0,9.4,23.0,22.9,39.1,6.8,75.9,7.1,5.89,145.4,0.0,30.4,0.0,35.6,1.1,1.1,4.4
2016-02,SP,Sudeste,Dilma,520400.0,90.3,6.9,25.0,20.6,41.4,6.7,77.0,7.7,7.0,86.0,0.0,30.4,0.0,12.9,1.2,0.9,5.6
2016-02,BA,Nordeste,Dilma,289000.0,91.7,6.0,20.9,25.1,36.9,10.9,74.9,7.8,5.95,50.0,0.0,30.4,0.0,19.5,1.3,1.1,6.0
2016-02,MG,Sudeste,Dilma,366100.0,89.6,6.6,21.9,24.9,37.1,9.3,74.8,7.7,6.61,47.9,0.0,30.4,0.0,7.9,1.2,0.9,5.0
2016-02,RS,Sul,Dilma,406100.0,90.5,6.7,22.8,22.8,39.2,6.7,75.7,8.8,6.93,58.0,0.0,30.4,0.0,6.3,1.2,1.0,5.3
2016-02,SC,Sul,Dilma,419000.0,89.7,6.9,21.6,20.6,41.4,7.1,77.7,12.1,7.03,47.9,0.0,30.4,0.0,3.8,1.1,0.9,4.6
2016-02,AM,Norte,Dilma,350300.0,89.4,6.5,23.8,20.9,41.1,9.2,78.1,7.5,6.26,49.3,0.0,30.4,0.0,16.1,1.4,0.9,5.3
2016-02,DF,Centro-Oeste,Dilma,463500.0,92.6,6.7,21.1,23.5,38.5,8.4,77.1,8.0,7.1,56.0,0.0,30.4,0.0,9.4,1.2,1.0,4.7
2016-02,GO,Centro-Oeste,Dilma,325500.0,91.6,6.7,22.8,19.5,42.5,10.0,75.1,10.7,6.31,43.4,0.0,30.4,0.0,9.0,1.5,1.0,5.2
2016-03,CE,Nordeste,Dilma,331700.0,91.1,6.1,23.7,24.1,37.9,14.1,75.8,10.9,6.42,36.1,0.0,30.4,0.0,9.9,0.9,1.0,5.1
2016-03,RJ,Sudeste,Dilma,458900.0,91.5,9.1,24.0,21.5,40.5,7.3,75.0,7.3,5.95,145.5,0.0,30.4,0.0,36.6,1.3,1.0,5.4
2016-03,SP,Sudeste,Dilma,499800.0,91.3,6.9,23.8,25.4,36.6,6.6,76.4,8.5,6.96,75.0,0.0,30.4,0.0,12.3,1.1,0.9,4.9
2016-03,BA,Nordeste,Dilma,277700.0,89.4,6.6,23.2,23.0,39.0,9.3,76.7,8.5,5.91,46.3,0.0,30.4,0.0,19.0,1.1,1.0,4.9
2016-03,MG,Sudeste,Dilma,368800.0,91.2,5.9,21.4,23.1,38.9,8.2,77.4,7.3,6.82,24.2,0.0,30.4,0.0,7.9,1.3,1.0,4.7
2016-03,RS,Sul,Dilma,408600.0,91.1,6.4,23.5,25.1,36.9,9.2,76.4,7.7,6.82,53.5,0.0,30.4,0.0,4.8,1.2,0.9,5.1
